name_common,age,mlb_ID,player_ID,year_ID,team_ID,stint_ID,lg_ID,PA,G,Inn,runs_bat,runs_br,runs_dp,runs_field,runs_infield,runs_outfield,runs_catcher,runs_good_plays,runs_defense,runs_position,runs_position_p,runs_replacement,runs_above_rep,runs_above_avg,runs_above_avg_off,runs_above_avg_def,WAA,WAA_off,WAA_def,WAR,WAR_def,WAR_off,WAR_rep,salary,pitcher,teamRpG,oppRpG,oppRpPA_rep,oppRpG_rep,pyth_exponent,pyth_exponent_rep,waa_win_perc,waa_win_perc_off,waa_win_perc_def,waa_win_perc_rep,OPS_plus,TOB_lg,TB_lg
Jose Abreu,31.0,547989.0,abreujo02,2018,CHW,1,AL,50.0,10,98.0,2.84,-0.43,-0.01,-2.0,0.0,0.0,0.0,0.0,-2.0,-0.65,0.0,1.53,1.3,-0.3,1.8,-2.7,-0.01,0.21,-0.27,0.15,-0.27,0.37,0.16,,N,4.46178,4.28678,0.07395,4.13429,1.855,1.835,0.4974,0.5185,0.4718,0.4834,151.7052,15.695,16.785999999999998
Tim Anderson,25.0,641313.0,anderti01,2018,CHW,1,AL,46.0,10,98.0,1.65,1.36,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.59,0.0,1.53,5.1,3.6,3.6,0.6,0.4,0.4,0.07,0.56,0.07,0.56,0.16,,N,4.646780000000001,4.28678,0.07395,4.13429,1.867,1.835,0.5376,0.5376,0.5063,0.4834,134.9469,14.439,16.023
Welington Castillo,31.0,456078.0,castiwe01,2018,CHW,1,AL,30.0,9,68.0,0.36,-0.02,-0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.07,2.7,1.6,0.6,1.5,0.19,0.08,0.17,0.3,0.17,0.19,0.11,,N,4.3579,4.28678,0.07395,4.16735,1.849,1.837,0.5197,0.5076,0.518,0.487,116.0143,9.417,10.682
Matt Davidson,27.0,571602.0,davidma02,2018,CHW,1,AL,44.0,9,88.0,5.26,-0.01,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.89,0.0,1.37,5.3,4.0,4.0,-0.9,0.43,0.42,-0.09,0.57,-0.09,0.56,0.14,,N,4.726780000000001,4.28678,0.07395,4.13429,1.871,1.835,0.5456,0.5456,0.4893,0.4834,215.3496,13.812000000000001,12.970999999999998
Nick Delmonico,25.0,547170.0,delmoni01,2018,CHW,1,AL,36.0,9,75.0,1.79,0.3,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-0.39,0.0,1.29,2.0,0.7,1.7,-1.4,0.08,0.19,-0.14,0.21,-0.14,0.32,0.13,,N,4.47567,4.28678,0.07395,4.14346,1.8559999999999999,1.8359999999999999,0.5082,0.52,0.4835,0.4844,141.2032,11.3,11.064
Adam Engel,26.0,641553.0,engelad01,2018,CHW,1,AL,33.0,9,79.0,-1.83,0.29,0.39,-1.0,0.0,-1.0,0.0,-1.0,-3.0,0.2,0.0,1.18,-2.8,-4.0,-1.0,-2.8,-0.41,-0.09,-0.28,-0.29,-0.28,0.03,0.12,,N,4.18123,4.28678,0.07395,4.15541,1.838,1.837,0.4537,0.4885,0.4675,0.4857,46.9427,10.359000000000002,9.919
Avisail Garcia,27.0,541645.0,garciav01,2018,CHW,1,AL,51.0,10,97.0,0.26,-0.5,-0.21,-4.0,0.0,0.0,0.0,0.0,-4.0,-0.42,0.0,1.53,-3.3,-4.9,-0.9,-4.4,-0.49,-0.07,-0.45,-0.33,-0.45,0.09,0.16,,N,4.1997800000000005,4.28678,0.07395,4.13429,1.839,1.835,0.4491,0.4906,0.4539,0.4834,89.0877,16.009,18.694000000000003
Leury Garcia,27.0,544725.0,garcile02,2018,CHW,1,AL,21.0,8,45.0,1.8,0.34,0.0,1.0,0.0,1.0,0.0,0.0,2.0,-0.2,0.0,0.75,4.7,3.9,1.9,1.8,0.43,0.21,0.21,0.5,0.21,0.28,0.07,,N,4.52928,4.28678,0.07395,4.19273,1.86,1.839,0.5529,0.5256,0.5248,0.4898,108.7336,6.5920000000000005,6.867000000000001
Yoan Moncada,23.0,660162.0,moncayo01,2018,CHW,1,AL,53.0,10,98.0,-0.65,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,1.53,1.0,-0.5,-0.5,0.3,-0.03,-0.03,0.04,0.12,0.04,0.12,0.15,,N,4.23778,4.28678,0.07395,4.13429,1.8419999999999999,1.835,0.4947,0.4947,0.5033,0.4834,89.5537,16.637,17.168
Omar Narvaez,26.0,553882.0,narvaom01,2018,CHW,1,AL,16.0,3,30.0,1.11,-0.46,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.23,0.0,0.46,0.3,-0.1,0.9,-0.8,0.0,0.1,-0.08,0.05,-0.08,0.15,0.05,,N,4.58012,4.28678,0.07395,4.13429,1.8630000000000002,1.835,0.4959,0.5308,0.4733,0.4834,120.2808,5.022,4.96
Tyler Saladino,28.0,573135.0,saladty01,2018,CHW,1,AL,9.0,5,32.0,-0.31,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.0,0.32,-0.1,-0.4,-0.4,-0.2,-0.05,-0.05,-0.01,-0.01,-0.01,-0.01,0.04,,N,4.202780000000001,4.28678,0.07395,4.22229,1.84,1.841,0.4909,0.4909,0.4965,0.493,77.9457,2.511,3.052
Yolmer Sanchez,26.0,570560.0,sanchca01,2018,CHW,1,AL,41.0,10,84.0,2.27,-0.88,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.19,0.0,1.47,5.1,3.6,1.6,2.2,0.41,0.18,0.25,0.56,0.25,0.33,0.15,,N,4.444780000000001,4.28678,0.07395,4.139880000000001,1.854,1.8359999999999999,0.5386,0.5168,0.5239,0.484,143.5813,12.87,13.353
